shot_number,prep_duration,shot_duration,release_angle,max_hand_speed,avg_elbow_angle,std_elbow_angle,release_height,motion_smoothness,trial_number,motion_smoothness_seq,movement_coordination,peak_velocity,velocity_consistency
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0662878787878788,0.12121212121212124,0.09090909090909093,0.19696969696969702,0.06060606060606062,0.11553030303030305,0.04545454545454546,0.07575757575757577,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546,0.04545454545454546
68,0.05555555555555555,0.07083333333333333,0.07777777777777778,0.04243827160493827,0.0049382716049382715,0.11929012345679012,0.14814814814814817,0.06790123456790123,0.08472222222222223,0.07854938271604939,0.16373456790123456,0.05555555555555555,0.030555555555555555
69,0.049382716049382706,0.05972222222222221,0.050617283950617264,0.05555555555555554,0.07978395061728394,0.09382716049382714,0.23533950617283947,0.05555555555555554,0.0382716049382716,0.0382716049382716,0.15679012345679008,0.05972222222222221,0.02716049382716049
70,0.02956989247311828,0.06600955794504182,0.053763440860215055,0.08124253285543608,0.14575866188769415,0.06451612903225806,0.22580645161290322,0.06048387096774194,0.04106929510155317,0.07526881720430108,0.12425328554360812,0.005973715651135006,0.026284348864994027
71,0.03009259259259259,0.16867283950617284,0.07777777777777778,0.19521604938271603,0.06388888888888888,0.0720679012345679,0.13827160493827162,0.013117283950617287,0.04243827160493827,0.06049382716049383,0.08472222222222223,0.03518518518518518,0.018055555555555557
72,0.06929510155316607,0.06451612903225806,0.05779569892473118,0.0967741935483871,0.0967741935483871,0.07048984468339307,0.13306451612903225,0.08602150537634409,0.03703703703703704,0.05899044205495818,0.06600955794504182,0.11544205495818399,0.04778972520908005
73,0.14705882352941177,0.029411764705882353,0.08823529411764706,0.10294117647058823,0.1323529411764706,0.058823529411764705,0.10294117647058823,0.07352941176470588,0.014705882352941176,0.08823529411764706,0.11764705882352941,0.029411764705882353,0.014705882352941176
74,0.1492537313432836,0.04477611940298508,0.10447761194029852,0.08955223880597016,0.11940298507462688,0.02985074626865672,0.1492537313432836,0.05970149253731344,0.02985074626865672,0.08955223880597016,0.05970149253731344,0.05970149253731344,0.01492537313432836
75,0.056338028169014086,0.061619718309859156,0.04225352112676056,0.014084507042253521,0.04753521126760563,0.03169014084507042,0.16901408450704225,0.16901408450704225,0.056338028169014086,0.16901408450704225,0.028169014084507043,0.1267605633802817,0.028169014084507043
76,0.08712121212121213,0.041245791245791245,0.043350168350168354,0.06060606060606061,0.07575757575757576,0.15172558922558924,0.04271885521885521,0.12121212121212122,0.045454545454545456,0.12121212121212122,0.07323232323232325,0.10606060606060606,0.030303030303030304
77,0.0462962962962963,0.05555555555555555,0.0375,0.07654320987654321,0.08487654320987655,0.07777777777777778,0.07777777777777778,0.07777777777777778,0.08395061728395062,0.16064814814814812,0.05339506172839506,0.1353395061728395,0.032561728395061725
78,0.03333333333333334,0.07777777777777779,0.05061728395061729,0.07777777777777779,0.07283950617283952,0.11913580246913583,0.10370370370370371,0.07160493827160495,0.04444444444444445,0.10123456790123458,0.06049382716049384,0.11111111111111113,0.07592592592592595
79,0.015531660692951012,0.04375746714456391,0.07526881720430106,0.1290322580645161,0.05376344086021504,0.09393667861409793,0.16293309438470727,0.047789725209080036,0.041069295101553153,0.15770609318996412,0.054211469534050157,0.10946833930704895,0.015531660692951012
80,0.004884004884004884,0.02197802197802198,0.12087912087912088,0.115995115995116,0.10302197802197802,0.07692307692307693,0.1298840048840049,0.04395604395604396,0.050824175824175824,0.12698412698412698,0.08379120879120878,0.0989010989010989,0.02197802197802198
81,0.056338028169014086,0.11267605633802817,0.07042253521126761,0.04225352112676056,0.04225352112676056,0.028169014084507043,0.14084507042253522,0.07042253521126761,0.056338028169014086,0.11267605633802817,0.09859154929577464,0.11267605633802817,0.056338028169014086
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0.09385521885521884,0.02356902356902357,0.09090909090909091,0.12226430976430977,0.07575757575757576,0.07281144781144781,0.04271885521885521,0.14856902356902357,0.11447811447811447,0.08985690235690236,0.03703703703703704,0.04271885521885521,0.045454545454545456
85,0.04405381944444444,0.03407118055555556,0.072265625,0.03602430555555555,0.212890625,0.12239583333333333,0.05512152777777777,0.09852430555555555,0.07942708333333334,0.024305555555555552,0.0920138888888889,0.087890625,0.041015625
86,0.1888888888888889,0.0652777777777778,0.0682098765432099,0.050154320987654336,0.11234567901234568,0.07469135802469136,0.08271604938271607,0.05864197530864199,0.06327160493827162,0.020679012345679013,0.11728395061728396,0.06033950617283951,0.037500000000000006
87,0.1085164835164835,0.0715811965811966,0.09233821733821734,0.13873626373626377,0.1257631257631258,0.08913308913308915,0.08104395604395605,0.04273504273504275,0.04517704517704518,0.026098901098901103,0.07234432234432236,0.0686813186813187,0.03785103785103786
88,0.09691697191697193,0.10012210012210013,0.1440781440781441,0.07081807081807083,0.0170940170940171,0.0886752136752137,0.03586691086691087,0.1550671550671551,0.03983516483516484,0.05906593406593407,0.026862026862026867,0.10576923076923078,0.05982905982905984
89,0.04861111111111111,0.03333333333333333,0.12839506172839507,0.1,0.05555555555555555,0.07160493827160494,0.061265432098765435,0.1617283950617284,0.03333333333333333,0.017283950617283952,0.06666666666666667,0.1111111111111111,0.1111111111111111
90,0.091820987654321,0.016049382716049387,0.11111111111111112,0.12222222222222223,0.09506172839506175,0.06250000000000001,0.09583333333333335,0.05771604938271606,0.03333333333333334,0.04444444444444445,0.09089506172839508,0.10617283950617284,0.07283950617283952
91,0.07661290322580644,0.08751493428912782,0.08124253285543606,0.07048984468339306,0.1242532855436081,0.0719832735961768,0.08333333333333331,0.011499402628434886,0.06451612903225805,0.07407407407407407,0.15173237753882912,0.047789725209080036,0.05495818399044205
92,0.10216049382716051,0.043672839506172845,0.07484567901234569,0.0970679012345679,0.057098765432098776,0.05910493827160495,0.09521604938271606,0.06095679012345679,0.05756172839506173,0.07654320987654323,0.11882716049382717,0.06404320987654323,0.09290123456790124
93,0.1111111111111111,0.0697431302270012,0.053763440860215055,0.053763440860215055,0.08900836320191159,0.05973715651135006,0.13784348864994025,0.05421146953405017,0.04778972520908005,0.10916965352449222,0.08482676224611709,0.08124253285543608,0.04778972520908005
